preset,f1_normal,f1_entrenado,tpr_normal,tpr_entrenado,fpr_normal,fpr_entrenado
baseline,0.2978723404255319,0.7948717948717948,0.2222222222222222,0.9841269841269841,0.19540229885057472,0.3563218390804598
night,0.276595744680851,0.8551724137931035,0.20634920634920634,0.9841269841269841,0.20689655172413793,0.22988505747126436
rain_day,0.23913043478260873,0.7924528301886793,0.1746031746031746,1.0,0.20689655172413793,0.3793103448275862
heavy_fog,0.31249999999999994,0.8378378378378377,0.23809523809523808,0.9841269841269841,0.20689655172413793,0.26436781609195403
low_light,0.26086956521739135,0.8400000000000001,0.19047619047619047,1.0,0.19540229885057472,0.27586206896551724
rain,0.2340425531914894,0.802547770700637,0.1746031746031746,1.0,0.22988505747126436,0.3563218390804598
fog,0.2916666666666667,0.8211920529801324,0.2222222222222222,0.9841269841269841,0.21839080459770116,0.2988505747126437
