modelo,tp,fp,fn,tn,precision,recall,tpr,fpr,f1,accuracy,map50,map50_95,ms_avg
Normal (YOLOv8n COCO + heurística IoU),16,17,50,74,0.48484848484848486,0.24242424242424243,0.24242424242424243,0.18681318681318682,0.32323232323232326,0.5732484076433121,,,10.581974770612778
Entrenado (YOLOv8n fine-tuned 'accident'),65,32,1,59,0.6701030927835051,0.9848484848484849,0.9848484848484849,0.3516483516483517,0.7975460122699387,0.7898089171974523,0.8863067638852996,0.4403209965674823,10.1314593272604
